I,p,w,x
1,256,260,0
2,1464,1376,1
3,448,455,0
4,1464,1376,1
5,1647,1548,1
6,384,390,0
7,915,860,1
8,1830,1720,1
9,192,195,0
10,1281,1204,1
11,256,260,0
12,732,688,1
13,1830,1720,1
14,1830,1720,1
15,128,130,0
16,640,650,0
17,1830,1720,1
18,1098,1032,1
19,549,516,1
20,1464,1376,1
21,384,390,0
22,1464,1376,1
23,549,516,1
24,576,585,0
25,576,585,0
26,1647,1548,1
27,1464,1376,1
28,128,130,0
29,320,325,0
30,512,520,0
31,576,585,0
32,1464,1376,1
33,549,516,1
34,576,585,0
35,576,585,0
36,1830,1720,1
37,64,65,0
38,732,688,1
39,320,325,0
40,549,516,1
41,128,130,0
42,384,390,0
43,320,325,0
44,915,860,1
45,1647,1548,1
46,128,130,0
47,1647,1548,1
48,549,516,1
49,448,455,0
50,1647,1548,1
51,320,325,0
52,915,860,1
53,1647,1548,1
54,1647,1548,1
55,732,688,1
56,640,650,0
57,1464,1376,1
58,1830,1720,1
59,448,455,0
60,1647,1548,1
61,366,344,1
62,1098,1032,1
63,576,585,0
64,183,172,1
65,915,860,1
66,64,65,0
67,1098,1032,1
68,732,688,1
69,183,172,1
70,915,860,1
71,576,585,0
72,320,325,0
73,640,650,0
74,915,860,1
75,256,260,0
76,192,195,0
77,192,195,0
78,1281,1204,1
79,1647,1548,1
80,448,455,0
81,128,130,0
82,549,516,1
83,183,172,1
84,732,688,1
85,384,390,0
86,512,520,0
87,64,65,0
88,640,650,0
89,1098,1032,1
90,320,325,0
91,1464,1376,1
92,1098,1032,1
93,512,520,0
94,549,516,1
95,384,390,0
96,128,130,0
97,64,65,0
98,576,585,0
99,576,585,0
100,64,65,0
101,732,688,1
102,128,130,0
103,732,688,1
104,192,195,0
105,512,520,0
106,448,455,0
107,1098,1032,1
108,384,390,0
109,183,172,1
110,192,195,0
111,1098,1032,1
112,192,195,0
113,1281,1204,1
114,549,516,1
115,128,130,0
116,1281,1204,1
117,64,65,0
118,732,688,1
119,448,455,0
120,915,860,1
121,1281,1204,1
122,576,585,0
123,1464,1376,1
124,183,172,1
125,128,130,0
126,640,650,0
127,1464,1376,1
128,366,344,1
129,732,688,1
130,512,520,0
131,512,520,0
132,183,172,1
133,512,520,0
134,549,516,1
135,640,650,0
136,320,325,0
137,915,860,1
138,1281,1204,1
139,1647,1548,1
140,640,650,0
141,64,65,0
142,366,344,1
143,1647,1548,1
144,128,130,0
145,732,688,1
146,1464,1376,1
147,448,455,0
148,128,130,0
149,1281,1204,1
150,549,516,1
151,512,520,0
152,448,455,0
153,732,688,1
154,915,860,1
155,128,130,0
156,384,390,0
157,320,325,0
158,183,172,1
159,64,65,0
160,192,195,0
161,128,130,0
162,366,344,1
163,1830,1720,1
164,256,260,0
165,549,516,1
166,549,516,1
167,256,260,0
168,256,260,0
169,192,195,0
170,1098,1032,1
171,384,390,0
172,64,65,0
173,192,195,0
174,915,860,1
175,256,260,0
176,640,650,0
177,1464,1376,1
178,192,195,0
179,549,516,1
180,576,585,0
181,640,650,0
182,549,516,1
183,64,65,0
184,384,390,0
185,183,172,1
186,1647,1548,1
187,576,585,0
